SEXE;zep;poids;an;mois;taille
F;O;16;3;5;100
F;O;14;3;10;97
G;O;13,5;3;5;95,5
F;O;15,4;4;0;101
G;N;16,5;3;8;100
G;O;16;4;0;98,5
G;N;17;3;11;103
G;O;14,8;3;9;98
G;O;17;4;1;101,5
G;O;16,7;3;3;100
G;O;15,5;3;7;98,5
G;O;15;3;9;101
G;O;14,5;3;9;94
F;N;16,8;4;0;103
F;O;16,2;4;1;101,5
F;O;14,7;3;9;98,5
F;O;16,5;4;1;103
G;O;15,1;3;9;100
G;O;15;4;0;101
G;O;15,5;4;1;103
F;O;15;4;6;102
G;O;16,8;3;5;101,5
G;O;19,8;3;7;107,5
G;O;15,5;3;9;104,5
F;O;17,8;4;1;100
F;O;16;4;3;102
F;O;15,2;3;10;103,5
F;O;18,6;3;9;100
G;O;16;4;2;109
G;O;18;4;1;106
G;N;17,5;3;6;102,5
G;O;16,5;4;3;104
F;O;14,8;4;1;97
G;O;18,4;4;3;106
G;O;17,6;4;2;107,5
G;O;18,8;3;10;107,5
G;O;16;4;1;100
G;O;18,5;3;6;107
F;O;14,6;3;8;95
F;O;14,7;3;10;97
F;O;10,5;3;8;88,5
F;N;15,2;3;11;97
F;O;15,5;3;6;101
F;O;14,5;4;0;96
F;O;16;4;3;98
G;O;16;4;3;99
G;O;13;4;0;95,5
F;O;15;3;10;98
G;O;15,8;3;7;101
F;O;13,6;4;4;101
G;O;17,7;3;10;104
F;N;14,8;3;8;97
G;O;18,8;4;0;103
G;O;17,5;4;0;105,5
F;O;16,2;4;1;105,5
G;O;17,6;3;10;104,5
F;O;17,4;3;6;96,5
G;O;15;3;3;98
G;O;22;3;11;107
F;O;17;3;2;103
G;O;14,5;3;4;98
F;O;16;3;9;103
G;O;12,7;3;9;95
G;O;19;3;7;111,5
F;O;16;4;0;99,5
F;O;14,5;3;10;94
G;N;17,3;4;1;104
F;O;12;3;3;90,5
G;O;13,3;3;7;95
F;O;16,7;3;4;100
F;O;18;3;9;99
F;O;16,6;3;4;98
F;O;17;3;4;100
G;O;19;3;10;100
F;O;16;3;3;98
G;N;17,2;3;11;105,5
F;O;17;3;4;100,5
F;O;15;3;9;100
G;O;17,6;3;10;105
F;O;17,6;4;0;102,5
G;O;15;3;3;98
G;O;15;3;6;101
F;O;14;3;5;97
F;O;14,5;3;11;94,5
F;N;18;3;6;101
F;O;16,8;3;6;93
G;O;14,5;3;2;92
G;O;17;3;3;99
G;O;19;3;4;107
F;O;18;3;3;100
F;O;12;3;2;90
G;O;17,5;3;7;97
G;O;17,4;4;0;101
F;O;15,8;3;9;103
G;O;17,5;3;10;103
G;O;15,5;3;9;97
G;O;14,5;3;2;95,5
F;O;15,7;3;9;97,5
F;O;19;3;10;109
F;O;22,8;3;9;106
G;O;22;4;4;107,5
G;O;16,4;3;7;99
G;O;18,7;3;10;109,5
G;O;16;4;3;104,5
F;N;17;4;3;105
G;O;16;3;10;101
G;O;16,3;4;3;103
F;O;19;4;1;103
F;O;19,4;4;5;108
F;O;15;3;9;100
F;O;15,5;3;9;100,5
G;O;15;3;4;100
F;O;19,4;3;10;106
F;O;15,7;4;0;97,5
F;N;15,2;3;10;102
G;O;18;3;9;101
G;N;15,5;3;10;99
G;N;19;3;9;106
F;N;17,3;4;5;104,5
G;N;18;3;10;105
F;N;15;3;7;99
F;N;16;3;8;101
F;N;14,5;3;8;91
G;N;13,5;3;2;96,2
G;O;16,5;3;8;102,5
F;O;14;3;7;100
G;N;18;4;3;107
F;N;14,8;4;0;102,5
G;N;15;3;8;97
G;N;16;4;3;105
G;O;18,5;3;5;104
F;N;15,5;4;3;104
F;O;15,5;3;9;96,5
G;N;13;3;3;92
G;N;17,5;3;10;101
G;O;18,7;3;10;104
G;N;17;4;3;101
G;N;16,5;3;1;101
G;N;16,5;3;8;103
G;N;15,8;3;7;98
F;N;15,9;4;0;105
G;N;19,6;4;3;108,5
F;N;16,5;3;9;100
F;N;14;3;11;101
G;N;13,7;3;2;96
F;O;19,5;3;8;101
G;N;12;4;2;95
G;N;17;3;9;101,5
G;N;17;3;6;99
F;N;14,3;3;4;98
F;N;17,8;3;11;105,5
F;N;15,7;3;7;98,5
